wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles
Rondo33,25866009,0,1,2015,7/27/15,815,10/19/17,7/27/15,1,BLM,3,3,Talk:Death of Sandra Bland,7/27/15,7/27/15,1.0,46.0,1.0
Rusavuk,24848124,269,1,2015,1/14/16,644,10/19/17,1/14/16,0,BLM,2,2,Black Lives Matter,4/20/15,4/20/15,25.0,95.28,13.0
S3oody8,26802104,436,1,2015,1/24/17,268,10/19/17,1/24/17,1,BLM,1,1,"Hands up, don't shoot",12/4/15,11/15/15,2.0,0.0,1.0
Saeranv,22278526,101,1,2014,11/30/14,1054,10/19/17,11/30/14,0,BLM,3,3,Talk:Shooting of Michael Brown,8/21/14,8/21/14,3.0,393.3333333333333,2.0
Sage1982,25517950,45,1,2015,8/1/15,810,10/19/17,8/1/15,0,BLM,2,2,Charleston church shooting,6/19/15,6/17/15,11.0,72.0,10.0
SamanthaAnnesley,25098281,0,1,2015,5/7/15,896,10/19/17,5/7/15,1,BLM,1,1,2015 Baltimore protests,5/7/15,5/7/15,1.0,-134.0,1.0
Sethyre,26338745,434,1,2015,11/30/16,323,10/19/17,11/30/16,1,BLM,4,3,Talk:2015ã¢_Ü__16 University of Missouri protests,11/12/15,9/23/15,3.0,155.0,2.0
Sgt1988,24330416,0,1,2015,3/5/15,959,10/19/17,3/5/15,1,BLM,1,1,"Hands up, don't shoot",3/5/15,3/5/15,1.0,1209.0,1.0
ShadowHawk555,23071829,741,1,2014,11/14/16,339,10/19/17,11/14/16,0,BLM,2,2,Ferguson unrest,2/17/15,11/4/14,34.0,27.558823529411764,15.0
Siguy85,21954978,16,1,2014,8/14/14,1162,10/19/17,8/14/14,1,BLM,1,1,Death of Eric Garner,7/29/14,7/29/14,4.0,187.0,1.0
Silvrcraze,24297747,1,1,2015,3/3/15,961,10/19/17,3/3/15,0,BLM,2,2,Shooting of John Crawford III,3/3/15,3/2/15,4.0,133.0,2.0
Skubydoo,26373160,304,1,2015,7/28/16,448,10/19/17,7/28/16,0,BLM,3,3,New England Patriots,10/28/15,9/28/15,100.0,274.9,49.0
Some of everything,25593358,845,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,2,2,2015 Chattanooga shootings,7/21/15,6/24/15,225.0,230.92,69.0
Somuchstuffismeta,24975166,0,1,2015,4/27/15,906,10/19/17,4/27/15,1,BLM,1,1,2015 Baltimore protests,4/27/15,4/27/15,9.0,58.0,2.0
Stamboliyski,22271376,1105,1,2014,8/29/17,51,10/19/17,8/29/17,0,BLM,2,2,Syndicalist Group Movement,8/27/14,8/20/14,546.0,927.7252747252747,336.0
StealthyJoker85,23377551,58,1,2014,1/30/15,993,10/19/17,1/30/15,0,BLM,2,2,Murder of Anni Dewani,12/8/14,12/3/14,70.0,136.2,52.0
StjJackson,25806245,822,0,2015,10/18/17,1,10/19/17,10/18/17,1,BLM,1,1,List of riots,7/19/15,7/19/15,424.0,44.23349056603774,340.0
Sweglife,25536757,47,1,2015,8/5/15,806,10/19/17,8/5/15,1,BLM,1,1,Charleston church shooting,6/19/15,6/19/15,2.0,-3.5,2.0
Teryuslimmy45,26890387,0,1,2015,11/25/15,694,10/19/17,11/25/15,1,BLM,1,1,Ferguson Action,11/25/15,11/25/15,3.0,512.3333333333334,2.0
ThurstonHowell3rd,24435954,383,1,2015,4/1/16,566,10/19/17,4/1/16,0,BLM,2,2,Ferguson unrest,3/15/15,3/15/15,21.0,-159.38095238095238,11.0
Tiger7890,24844794,891,0,2015,9/26/17,23,10/19/17,9/26/17,0,BLM,3,3,Charleston church shooting,6/19/15,4/19/15,665.0,717.9383458646616,481.0
Tiggahuhot,23379425,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Death of Eric Garner,12/4/14,12/4/14,1.0,17.0,1.0
Tlpinto1,21875037,0,1,2014,7/20/14,1187,10/19/17,7/20/14,1,BLM,1,1,Death of Eric Garner,7/20/14,7/20/14,10.0,38.0,1.0
Trees are more important than people,25088381,0,1,2015,5/6/15,897,10/19/17,5/6/15,1,BLM,4,3,Death of Freddie Gray,5/6/15,5/6/15,1.0,318.0,1.0
Ttextt,24719872,821,1,2015,7/9/17,102,10/19/17,7/9/17,1,BLM,1,1,Death of Eric Garner,4/17/15,4/10/15,5.0,947.2,1.0
TwinTowers911,25800157,0,1,2015,7/18/15,824,10/19/17,7/18/15,1,BLM,1,1,Charleston church shooting,7/18/15,7/18/15,1.0,6.0,1.0
UnionJaren,24680355,41,1,2015,5/18/15,885,10/19/17,5/18/15,0,BLM,2,2,Death of Freddie Gray,4/29/15,4/7/15,37.0,11.135135135135135,18.0
Username041313,24975002,0,1,2015,4/27/15,906,10/19/17,4/27/15,1,BLM,1,1,Death of Freddie Gray,4/27/15,4/27/15,1.0,-32.0,1.0
Velojareal,26742571,55,1,2015,1/2/16,656,10/19/17,1/2/16,0,BLM,2,2,Charleston church shooting,11/28/15,11/8/15,21.0,23.428571428571427,9.0
Veracity134,23636100,0,1,2014,12/30/14,1024,10/19/17,12/30/14,1,BLM,1,1,Death of Eric Garner,12/30/14,12/30/14,1.0,14.0,1.0
Walfin,23402834,873,1,2014,4/27/17,175,10/19/17,4/27/17,1,BLM,1,1,Shooting of Kenneth Chamberlain Sr.,12/6/14,12/6/14,1.0,-2.0,1.0
Walsh8157,24505878,0,1,2015,3/22/15,942,10/19/17,3/22/15,1,BLM,1,1,"Hands up, don't shoot",3/22/15,3/22/15,1.0,197.0,1.0
We43ff21,26764488,705,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,3,3,2015ã¢_Ü__16 University of Missouri protests,11/12/15,11/11/15,31.0,261.0,8.0
WebSurfer01,23379546,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Death of Eric Garner,12/4/14,12/4/14,1.0,-13.0,1.0
White Arabian Filly,26780745,706,0,2015,10/18/17,1,10/19/17,10/18/17,0,BLM,5,3,Talk:Death of Echol Cole and Robert Walker,12/16/15,11/12/15,2853.0,47.05783385909569,1011.0
WickedTurth,23571975,4,1,2014,12/27/14,1027,10/19/17,12/27/14,1,BLM,1,1,"Hands up, don't shoot",12/23/14,12/23/14,7.0,737.5714285714286,3.0
Wikipuser777,22078499,677,1,2014,6/12/16,494,10/19/17,6/12/16,0,BLM,2,2,Shooting of Michael Brown,8/15/14,8/5/14,45.0,181.33333333333334,19.0
WillSchenk,23334859,0,1,2014,11/30/14,1054,10/19/17,11/30/14,0,BLM,2,2,Shooting of Michael Brown,11/30/14,11/30/14,2.0,76.0,2.0
Wulframm Rolf,25599093,182,1,2015,12/24/15,665,10/19/17,12/24/15,1,BLM,1,1,Charleston church shooting,6/25/15,6/25/15,4.0,73.0,3.0
Wybulldog,22287595,20,1,2014,9/11/14,1134,10/19/17,9/11/14,1,BLM,1,1,"Ferguson, Missouri",8/22/14,8/22/14,3.0,53.0,2.0
XxMorningXxXStarxX,24410372,0,1,2015,3/13/15,951,10/19/17,3/13/15,1,BLM,1,1,Shooting of Akai Gurley,3/13/15,3/13/15,1.0,-13.0,1.0
Yankeekid13,23376982,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Death of Eric Garner,12/3/14,12/3/14,1.0,17.0,1.0
Youareagrt,24523851,0,1,2015,3/24/15,940,10/19/17,3/24/15,0,BLM,2,2,Shooting of Tamir Rice,3/24/15,3/24/15,3.0,42.0,3.0
Yunghomiek,25561760,0,1,2015,6/21/15,851,10/19/17,6/21/15,1,BLM,1,1,Charleston church shooting,6/21/15,6/21/15,2.0,0.0,1.0
ZeFreightTrain,25764360,10,1,2015,7/24/15,818,10/19/17,7/24/15,0,BLM,2,2,Death of Sandra Bland,7/23/15,7/14/15,3.0,-3.3333333333333335,2.0
Zexcoiler Kingbolt,26896767,272,1,2015,8/24/16,421,10/19/17,8/24/16,1,BLM,1,1,Shooting of Ramarley Graham,11/26/15,11/26/15,3.0,-64.33333333333333,3.0
