wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles
MrAtifAyub,23186517,28,1,2014,12/13/14,1034,10/12/17,12/13/14,1,Ebola,1,1,Ebola virus,12/13/14,11/15/14,2.0,3.0,1.0
MrHassanSan,22935515,5,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,West African Ebola virus epidemic,10/22/14,10/22/14,3.0,95.33333333333333,1.0
Mrs.Maddys,23400956,0,1,2014,12/6/14,1041,10/12/17,12/6/14,1,Ebola,1,1,West African Ebola virus epidemic,12/6/14,12/6/14,1.0,13.0,1.0
Mtchief,21580764,11,1,2014,6/19/14,1211,10/12/17,6/19/14,1,Ebola,1,1,West African Ebola virus epidemic,6/8/14,6/8/14,3.0,130.33333333333334,1.0
Mucky Poo,22325480,39,1,2014,10/3/14,1105,10/12/17,10/3/14,1,Ebola,1,1,Ebola virus,8/25/14,8/25/14,4.0,452.75,1.0
Murilo12,22055388,0,1,2014,8/4/14,1165,10/12/17,8/4/14,1,Ebola,1,1,West African Ebola virus epidemic,8/4/14,8/4/14,2.0,-117.5,1.0
Nauzemophonic,22709814,0,1,2014,10/1/14,1107,10/12/17,10/1/14,1,Ebola,1,1,Ebola virus,10/1/14,10/1/14,1.0,30.0,1.0
Nelson Joel,23088697,0,1,2014,11/6/14,1071,10/12/17,11/6/14,1,Ebola,1,1,Ebola virus cases in the United States,11/6/14,11/6/14,2.0,0.0,1.0
NetworkOP,23595433,725,1,2014,12/20/16,296,10/12/17,12/20/16,0,Ebola,5,3,Ebola virus disease,1/1/15,12/26/14,126.0,204.15079365079364,60.0
Nikzilla,22439607,0,1,2014,9/5/14,1133,10/12/17,9/5/14,1,Ebola,1,1,West African Ebola virus epidemic,9/5/14,9/5/14,1.0,5.0,1.0
Oakhilljoseph,23010121,1,1,2014,10/30/14,1078,10/12/17,10/30/14,1,Ebola,1,1,West African Ebola virus epidemic,10/29/14,10/29/14,3.0,0.3333333333333333,1.0
