wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration
CyberWarfare,25812203,90,1,2015,10/18/15,732,10/19/17,10/18/15,0,BLM,2,2,Death of Sandra Bland,7/23/15,7/20/15
DERPALERT,24532235,937,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,4,3,List of battles and other violent events by death toll,4/8/15,3/24/15
Daddy2d,23617662,0,1,2014,12/29/14,1025,10/19/17,12/29/14,1,BLM,1,1,Shooting of Michael Brown,12/29/14,12/29/14
Damvile,23253239,22,1,2014,12/13/14,1041,10/19/17,12/13/14,0,BLM,2,2,Shooting of Michael Brown,11/28/14,11/21/14
DangerousJXD,22220474,1160,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,Murdered: Soul Suspect,9/9/14,8/16/14
Danjuma10,22308202,1,1,2014,8/25/14,1151,10/19/17,8/25/14,0,BLM,2,2,Ferguson unrest,8/25/14,8/24/14
Darcty rice,26896170,0,1,2015,11/26/15,693,10/19/17,11/26/15,1,BLM,1,1,Shooting of Ramarley Graham,11/26/15,11/26/15
DatGuy,26830382,701,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,2014 Kiss of Love protest,11/27/15,11/18/15
Dbonte35,22195037,0,1,2014,8/13/14,1163,10/19/17,8/13/14,1,BLM,1,1,Shooting of Michael Brown,8/13/14,8/13/14
DeLittle,24721351,21,1,2015,5/2/15,901,10/19/17,5/2/15,0,BLM,2,2,United States pro-choice movement,4/19/15,4/11/15
Deeeogo,25780540,701,1,2015,6/16/17,125,10/19/17,6/16/17,0,BLM,2,2,Murder Was the Case (song),7/29/15,7/16/15
Deeznutzhagotem,25077931,140,1,2015,9/22/15,758,10/19/17,9/22/15,1,BLM,1,1,2015 Baltimore protests,5/5/15,5/5/15
Dengg2,24345691,0,1,2015,3/7/15,957,10/19/17,3/7/15,1,BLM,1,1,Shooting of Michael Brown,3/7/15,3/7/15
Denniscabrams,24382878,954,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,Death of Freddie Gray,5/1/15,3/10/15
Desertguardsman,23595994,303,1,2014,10/25/15,725,10/19/17,10/25/15,1,BLM,1,1,Shooting of Michael Brown,12/26/14,12/26/14
Dianaoh339,23387877,14,1,2014,12/18/14,1036,10/19/17,12/18/14,0,BLM,2,2,Death of Eric Garner,12/11/14,12/4/14
DiscantX,23278095,1012,1,2014,9/1/17,48,10/19/17,9/1/17,0,BLM,2,2,Wikipedia:Articles for deletion/Stop! Or My Dog Will Shoot,12/13/14,11/24/14
Dontmakemetypepasswordagain,26733996,213,1,2015,6/7/16,499,10/19/17,6/7/16,0,BLM,4,3,Shooting of Laquan McDonald,11/28/15,11/7/15
Douglas.j.chapman,22301296,0,1,2014,8/23/14,1153,10/19/17,8/23/14,1,BLM,1,1,Ferguson unrest,8/23/14,8/23/14
E10QZ,22198436,197,1,2014,2/27/15,965,10/19/17,2/27/15,1,BLM,1,1,Shooting of Michael Brown,8/14/14,8/14/14
Eat meI'm an azuki,25540432,850,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,2,2,Wikipedia:Articles for deletion/2015 anti-china protest,7/7/15,6/19/15
Emmyfan,23008268,30,1,2014,11/28/14,1056,10/19/17,11/28/14,0,BLM,2,2,Shooting of Michael Brown,11/28/14,10/29/14
Engl1105,24848423,17,1,2015,5/7/15,896,10/19/17,5/7/15,0,BLM,2,2,Ferguson unrest,4/26/15,4/20/15
EternalNomad,24473955,943,0,2015,10/17/17,2,10/19/17,10/17/17,0,BLM,3,3,Deaths in 2015,3/24/15,3/19/15
Ethanhuron,24668182,0,1,2015,4/6/15,927,10/19/17,4/6/15,1,BLM,1,1,Ferguson unrest,4/6/15,4/6/15
Everrreton,23275635,370,1,2014,11/29/15,690,10/19/17,11/29/15,1,BLM,1,1,Ferguson unrest,11/24/14,11/24/14
F8Rx,23388662,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Ferguson unrest,12/4/14,12/4/14
FACTSvsOPINION,25829255,0,1,2015,7/22/15,820,10/19/17,7/22/15,1,BLM,1,1,Death of Sandra Bland,7/22/15,7/22/15
Fatnard,24976792,2,1,2015,4/30/15,903,10/19/17,4/30/15,1,BLM,1,1,Ferguson unrest,4/28/15,4/28/15
Gamerboi1,25578442,0,1,2015,6/23/15,849,10/19/17,6/23/15,1,BLM,1,1,Charleston church shooting,6/23/15,6/23/15
Gf95750,22915410,633,1,2014,7/15/16,461,10/19/17,7/15/16,0,BLM,2,2,Shooting of Michael Brown,11/24/14,10/21/14
Gg3iii,25552606,0,1,2015,6/20/15,852,10/19/17,6/20/15,1,BLM,1,1,Charleston church shooting,6/20/15,6/20/15
GoLeor,24907752,347,1,2015,4/4/16,563,10/19/17,4/4/16,0,BLM,2,2,2015 Baltimore protests,5/5/15,4/23/15
GrecianEarn,26353285,88,1,2015,12/22/15,667,10/19/17,12/22/15,0,BLM,4,3,Death of Sandra Bland,9/29/15,9/25/15
GrimaceMcDonald,25528513,0,1,2015,6/18/15,854,10/19/17,6/18/15,1,BLM,1,1,Charleston church shooting,6/18/15,6/18/15
Halahala9X9,24979737,0,1,2015,4/28/15,905,10/19/17,4/28/15,1,BLM,1,1,Shooting of Rekia Boyd,4/28/15,4/28/15
Hawkmoonb,22162361,0,1,2014,8/11/14,1165,10/19/17,8/11/14,1,BLM,1,1,Death of Eric Garner,8/11/14,8/11/14
Hehoo99,23377850,0,1,2014,12/3/14,1051,10/19/17,12/3/14,0,BLM,2,2,Ferguson unrest,12/3/14,12/3/14
Iazyges,23299921,1057,0,2014,10/18/17,1,10/19/17,10/18/17,0,BLM,4,3,South African National Rally Championship,1/13/15,11/26/14
Icarosaurvus,22245365,1137,0,2014,9/28/17,21,10/19/17,9/28/17,0,BLM,2,2,Talk:Shooting of Michael Brown,8/19/14,8/18/14
Impendingtruth,26797572,1,1,2015,11/15/15,704,10/19/17,11/15/15,1,BLM,1,1,2015ã•¢_•Ü_•_16 University of Missouri protests,11/14/15,11/14/15
JJMC89,24812038,915,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,Ryan W. Ferguson,4/27/15,4/18/15
JT2958,22138907,1130,1,2014,9/12/17,37,10/19/17,9/12/17,0,BLM,3,3,Ferguson unrest,11/30/14,8/9/14
Jamesdean32,23581710,0,1,2014,12/25/14,1029,10/19/17,12/25/14,1,BLM,1,1,Death of Aiyana Jones,12/25/14,12/25/14
Jc21539,22936038,0,1,2014,10/22/14,1093,10/19/17,10/22/14,1,BLM,1,1,Shooting of Michael Brown,10/22/14,10/22/14
Jimbob761,26440004,8,1,2015,10/13/15,737,10/19/17,10/13/15,0,BLM,2,2,Ferguson unrest,10/13/15,10/5/15
Jlightsky,24352640,459,1,2015,6/8/16,498,10/19/17,6/8/16,1,BLM,4,3,Black Lives Matter,3/7/15,3/7/15
Josephp18810,25627763,7,1,2015,7/5/15,837,10/19/17,7/5/15,0,BLM,2,2,Shooting of Tamir Rice,7/5/15,6/28/15
Joshephpeterson,26331924,0,1,2015,9/23/15,757,10/19/17,9/23/15,1,BLM,1,1,2015 Baltimore protests,9/23/15,9/23/15
Jrdrew102,25612250,0,1,2015,6/26/15,846,10/19/17,6/26/15,1,BLM,1,1,Shooting of Michael Brown,6/26/15,6/26/15
JustSmart14,22203617,0,1,2014,8/14/14,1162,10/19/17,8/14/14,1,BLM,1,1,Shooting of Renisha McBride,8/14/14,8/14/14
Justice2001,25832095,0,1,2015,7/23/15,819,10/19/17,7/23/15,1,BLM,1,1,Death of Sandra Bland,7/23/15,7/23/15
JusticeForFreddieGray,25086134,0,1,2015,5/6/15,897,10/19/17,5/6/15,1,BLM,1,1,Death of Freddie Gray,5/6/15,5/6/15
Justincase1992,23365561,13,1,2014,12/15/14,1039,10/19/17,12/15/14,0,BLM,2,2,Shooting of Michael Brown,12/9/14,12/2/14
KH-1,21857263,1189,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,20th anniversary of Tiananmen Square protests of 1989,7/18/14,7/18/14
Kaizena,26481923,135,1,2015,2/22/16,605,10/19/17,2/22/16,1,BLM,1,1,Taiwan independence movement,10/10/15,10/10/15
Kiwidwj,25596182,331,1,2015,5/21/16,516,10/19/17,5/21/16,1,BLM,1,1,Shooting of Michael Brown,6/25/15,6/25/15
Kiwifist,24791530,908,0,2015,10/10/17,9,10/19/17,10/10/17,0,BLM,2,2,"List of killings by law enforcement officers in the United States, November 2012",5/24/15,4/16/15
Krimsonquinn,26932106,3,1,2015,12/3/15,686,10/19/17,12/3/15,1,BLM,1,1,Shooting of Ramarley Graham,11/30/15,11/30/15
Kwoff,22283456,0,1,2014,8/21/14,1155,10/19/17,8/21/14,1,BLM,1,1,Ferguson unrest,8/21/14,8/21/14
Kykydani,25640137,26,1,2015,7/25/15,817,10/19/17,7/25/15,1,BLM,1,1,Charleston church shooting,6/29/15,6/29/15
Kyle Lynch15,25074101,0,1,2015,5/5/15,898,10/19/17,5/5/15,1,BLM,1,1,Death of Freddie Gray,5/5/15,5/5/15
Laurel Wreath of Victors,25771936,826,0,2015,10/18/17,1,10/19/17,10/18/17,0,BLM,2,2,List of accidents and disasters by death toll,8/15/15,7/15/15
Legochima,23626977,0,1,2014,12/29/14,1025,10/19/17,12/29/14,1,BLM,1,1,Death of Eric Garner,12/29/14,12/29/14
LiciaLace,22119550,0,1,2014,8/8/14,1168,10/19/17,8/8/14,1,BLM,1,1,Death of Eric Garner,8/8/14,8/8/14
Lilhpster,23384693,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Death of Eric Garner,12/4/14,12/4/14
Lowkey40,24991961,0,1,2015,4/29/15,904,10/19/17,4/29/15,1,BLM,1,1,Shooting of Walter Scott,4/29/15,4/29/15
LuckyLeftyy,25763355,13,1,2015,7/26/15,816,10/19/17,7/26/15,0,BLM,2,2,Death of Sandra Bland,7/25/15,7/13/15
MPS1992,26860051,697,0,2015,10/18/17,1,10/19/17,10/18/17,0,BLM,2,2,Hawaiian sovereignty movement,11/22/15,11/21/15
MaddiKadafy,21891220,309,1,2014,5/28/15,875,10/19/17,5/28/15,0,BLM,4,3,Death of Eric Garner,7/29/14,7/23/14
ManiiMACK,23377834,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Death of Eric Garner,12/3/14,12/3/14
Masterfrac,26388641,1,1,2015,9/30/15,750,10/19/17,9/30/15,0,BLM,2,2,"Hands up, don't shoot",9/30/15,9/29/15
Mattoeftering,25896539,0,1,2015,7/31/15,811,10/19/17,7/31/15,1,BLM,1,1,Ferguson unrest,7/31/15,7/31/15
Mjay54,23323345,0,1,2014,11/28/14,1056,10/19/17,11/28/14,1,BLM,1,1,Death of Eric Garner,11/28/14,11/28/14
Mov283br3,26889133,0,1,2015,11/25/15,694,10/19/17,11/25/15,1,BLM,1,1,Shooting of Laquan McDonald,11/25/15,11/25/15
Mpena12,23388826,14,1,2014,12/18/14,1036,10/19/17,12/18/14,0,BLM,2,2,Shooting of Michael Brown,12/18/14,12/4/14
MyEditIsValid,23379465,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Ferguson unrest,12/4/14,12/4/14
Nammage,24947538,783,1,2015,6/17/17,124,10/19/17,6/17/17,0,BLM,2,2,Ryan W. Ferguson,5/13/15,4/26/15
Necent,26783598,0,1,2015,11/13/15,706,10/19/17,11/13/15,1,BLM,1,1,2015ã•¢_•Ü_•_16 University of Missouri protests,11/13/15,11/13/15
NekoKatsun,23242057,1064,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,4,3,Death of Aaliyah,11/26/14,11/20/14
Niw1984,23653569,0,1,2015,1/1/15,1022,10/19/17,1/1/15,1,BLM,1,1,Shooting of Oscar Grant,1/1/15,1/1/15
O.Stolz,26750562,28,1,2015,12/7/15,682,10/19/17,12/7/15,0,BLM,2,2,Shooting of Jamar Clark,11/20/15,11/9/15
Ogmios78,24962314,0,1,2015,4/27/15,906,10/19/17,4/27/15,1,BLM,1,1,Death of Eric Garner,4/27/15,4/27/15
OliviaEMcCheyne,26710930,1,1,2015,11/5/15,714,10/19/17,11/5/15,0,BLM,2,2,Death of Freddie Gray,11/5/15,11/4/15
OrganicEarth,25844825,60,1,2015,9/22/15,758,10/19/17,9/22/15,0,BLM,2,2,Shooting of Samuel DuBose,7/31/15,7/24/15
Pencilthebee,26832848,0,1,2015,11/18/15,701,10/19/17,11/18/15,0,BLM,2,2,2015 Baltimore protests,11/18/15,11/18/15
PewdsBro12,25838030,160,1,2015,12/30/15,659,10/19/17,12/30/15,0,BLM,2,2,Death of Sandra Bland,7/27/15,7/23/15
Prinsgezinde,24340726,958,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,3,3,List of wars and anthropogenic disasters by death toll,3/30/15,3/6/15
Profoundblkwmn,24797594,0,1,2015,4/17/15,916,10/19/17,4/17/15,1,BLM,1,1,Shooting of John Crawford III,4/17/15,4/17/15
Qzd,26906394,692,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,2015 Russian Sukhoi Su-24 shootdown,11/28/15,11/27/15
Randomlettersinaspace,25800230,0,1,2015,7/18/15,824,10/19/17,7/18/15,1,BLM,1,1,Charleston church shooting,7/18/15,7/18/15
RatRat,24512952,791,1,2015,5/22/17,150,10/19/17,5/22/17,0,BLM,2,2,Death Grips,4/14/15,3/23/15
Realtruth4all,26835139,0,1,2015,11/19/15,700,10/19/17,11/19/15,1,BLM,1,1,2015ã•¢_•Ü_•_16 University of Missouri protests,11/19/15,11/19/15
Rjlnjd,24380114,0,1,2015,3/10/15,954,10/19/17,3/10/15,1,BLM,1,1,Shooting of Tony Robinson,3/10/15,3/10/15
Rjryan94,21897518,0,1,2014,7/23/14,1184,10/19/17,7/23/14,1,BLM,1,1,Death of Eric Garner,7/23/14,7/23/14
Rlincoln1986,23370248,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Death of Eric Garner,12/3/14,12/3/14
Rondo33,25866009,0,1,2015,7/27/15,815,10/19/17,7/27/15,1,BLM,3,3,Talk:Death of Sandra Bland,7/27/15,7/27/15
Rusavuk,24848124,269,1,2015,1/14/16,644,10/19/17,1/14/16,0,BLM,2,2,Black Lives Matter,4/20/15,4/20/15
S3oody8,26802104,436,1,2015,1/24/17,268,10/19/17,1/24/17,1,BLM,1,1,"Hands up, don't shoot",12/4/15,11/15/15
Saeranv,22278526,101,1,2014,11/30/14,1054,10/19/17,11/30/14,0,BLM,3,3,Talk:Shooting of Michael Brown,8/21/14,8/21/14
Sage1982,25517950,45,1,2015,8/1/15,810,10/19/17,8/1/15,0,BLM,2,2,Charleston church shooting,6/19/15,6/17/15
SamanthaAnnesley,25098281,0,1,2015,5/7/15,896,10/19/17,5/7/15,1,BLM,1,1,2015 Baltimore protests,5/7/15,5/7/15
Sethyre,26338745,434,1,2015,11/30/16,323,10/19/17,11/30/16,1,BLM,4,3,Talk:2015ã•¢_•Ü_•_16 University of Missouri protests,11/12/15,9/23/15
Sgt1988,24330416,0,1,2015,3/5/15,959,10/19/17,3/5/15,1,BLM,1,1,"Hands up, don't shoot",3/5/15,3/5/15
ShadowHawk555,23071829,741,1,2014,11/14/16,339,10/19/17,11/14/16,0,BLM,2,2,Ferguson unrest,2/17/15,11/4/14
Siguy85,21954978,16,1,2014,8/14/14,1162,10/19/17,8/14/14,1,BLM,1,1,Death of Eric Garner,7/29/14,7/29/14
Silvrcraze,24297747,1,1,2015,3/3/15,961,10/19/17,3/3/15,0,BLM,2,2,Shooting of John Crawford III,3/3/15,3/2/15
Skubydoo,26373160,304,1,2015,7/28/16,448,10/19/17,7/28/16,0,BLM,3,3,New England Patriots,10/28/15,9/28/15
Some of everything,25593358,845,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,2,2,2015 Chattanooga shootings,7/21/15,6/24/15
Somuchstuffismeta,24975166,0,1,2015,4/27/15,906,10/19/17,4/27/15,1,BLM,1,1,2015 Baltimore protests,4/27/15,4/27/15
Stamboliyski,22271376,1105,1,2014,8/29/17,51,10/19/17,8/29/17,0,BLM,2,2,Syndicalist Group Movement,8/27/14,8/20/14
StealthyJoker85,23377551,58,1,2014,1/30/15,993,10/19/17,1/30/15,0,BLM,2,2,Murder of Anni Dewani,12/8/14,12/3/14
StjJackson,25806245,822,0,2015,10/18/17,1,10/19/17,10/18/17,1,BLM,1,1,List of riots,7/19/15,7/19/15
Sweglife,25536757,47,1,2015,8/5/15,806,10/19/17,8/5/15,1,BLM,1,1,Charleston church shooting,6/19/15,6/19/15
Teryuslimmy45,26890387,0,1,2015,11/25/15,694,10/19/17,11/25/15,1,BLM,1,1,Ferguson Action,11/25/15,11/25/15
ThurstonHowell3rd,24435954,383,1,2015,4/1/16,566,10/19/17,4/1/16,0,BLM,2,2,Ferguson unrest,3/15/15,3/15/15
Tiger7890,24844794,891,0,2015,9/26/17,23,10/19/17,9/26/17,0,BLM,3,3,Charleston church shooting,6/19/15,4/19/15
Tiggahuhot,23379425,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Death of Eric Garner,12/4/14,12/4/14
Tlpinto1,21875037,0,1,2014,7/20/14,1187,10/19/17,7/20/14,1,BLM,1,1,Death of Eric Garner,7/20/14,7/20/14
Trees are more important than people,25088381,0,1,2015,5/6/15,897,10/19/17,5/6/15,1,BLM,4,3,Death of Freddie Gray,5/6/15,5/6/15
Ttextt,24719872,821,1,2015,7/9/17,102,10/19/17,7/9/17,1,BLM,1,1,Death of Eric Garner,4/17/15,4/10/15
TwinTowers911,25800157,0,1,2015,7/18/15,824,10/19/17,7/18/15,1,BLM,1,1,Charleston church shooting,7/18/15,7/18/15
UnionJaren,24680355,41,1,2015,5/18/15,885,10/19/17,5/18/15,0,BLM,2,2,Death of Freddie Gray,4/29/15,4/7/15
Username041313,24975002,0,1,2015,4/27/15,906,10/19/17,4/27/15,1,BLM,1,1,Death of Freddie Gray,4/27/15,4/27/15
Velojareal,26742571,55,1,2015,1/2/16,656,10/19/17,1/2/16,0,BLM,2,2,Charleston church shooting,11/28/15,11/8/15
Veracity134,23636100,0,1,2014,12/30/14,1024,10/19/17,12/30/14,1,BLM,1,1,Death of Eric Garner,12/30/14,12/30/14
Walfin,23402834,873,1,2014,4/27/17,175,10/19/17,4/27/17,1,BLM,1,1,Shooting of Kenneth Chamberlain Sr.,12/6/14,12/6/14
Walsh8157,24505878,0,1,2015,3/22/15,942,10/19/17,3/22/15,1,BLM,1,1,"Hands up, don't shoot",3/22/15,3/22/15
We43ff21,26764488,705,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,3,3,2015ã•¢_•Ü_•_16 University of Missouri protests,11/12/15,11/11/15
WebSurfer01,23379546,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Death of Eric Garner,12/4/14,12/4/14
White Arabian Filly,26780745,706,0,2015,10/18/17,1,10/19/17,10/18/17,0,BLM,5,3,Talk:Death of Echol Cole and Robert Walker,12/16/15,11/12/15
WickedTurth,23571975,4,1,2014,12/27/14,1027,10/19/17,12/27/14,1,BLM,1,1,"Hands up, don't shoot",12/23/14,12/23/14
Wikipuser777,22078499,677,1,2014,6/12/16,494,10/19/17,6/12/16,0,BLM,2,2,Shooting of Michael Brown,8/15/14,8/5/14
WillSchenk,23334859,0,1,2014,11/30/14,1054,10/19/17,11/30/14,0,BLM,2,2,Shooting of Michael Brown,11/30/14,11/30/14
Wulframm Rolf,25599093,182,1,2015,12/24/15,665,10/19/17,12/24/15,1,BLM,1,1,Charleston church shooting,6/25/15,6/25/15
Wybulldog,22287595,20,1,2014,9/11/14,1134,10/19/17,9/11/14,1,BLM,1,1,"Ferguson, Missouri",8/22/14,8/22/14
XxMorningXxXStarxX,24410372,0,1,2015,3/13/15,951,10/19/17,3/13/15,1,BLM,1,1,Shooting of Akai Gurley,3/13/15,3/13/15
Yankeekid13,23376982,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Death of Eric Garner,12/3/14,12/3/14
Youareagrt,24523851,0,1,2015,3/24/15,940,10/19/17,3/24/15,0,BLM,2,2,Shooting of Tamir Rice,3/24/15,3/24/15
Yunghomiek,25561760,0,1,2015,6/21/15,851,10/19/17,6/21/15,1,BLM,1,1,Charleston church shooting,6/21/15,6/21/15
ZeFreightTrain,25764360,10,1,2015,7/24/15,818,10/19/17,7/24/15,0,BLM,2,2,Death of Sandra Bland,7/23/15,7/14/15
Zexcoiler Kingbolt,26896767,272,1,2015,8/24/16,421,10/19/17,8/24/16,1,BLM,1,1,Shooting of Ramarley Graham,11/26/15,11/26/15
