label,wpid,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Deeeogo,Deeeogo,2,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,1.02E-05,BLM
Deeznutzhagotem,Deeznutzhagotem,1,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,BLM
DeLittle,DeLittle,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Denniscabrams,Denniscabrams,2,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,0,BLM
DERPALERT,DERPALERT,3,1,0,0,0,2.52E-07,0.00050226,4,0.00201005,4,0.00201005,0,0,11,11,0,0,BLM
Desertguardsman,Desertguardsman,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,BLM
DestinationAlan,DestinationAlan,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,2.48E-07,FIFA
Dianaoh339,Dianaoh339,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
DiscantX,DiscantX,2,1,0,0,0,2.54E-07,0.000504795,10,0.005025126,0,0,10,0.005025126,11,0,11,0,BLM
DomanicAssyrian,DomanicAssyrian,3,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola
Dontmakemetypepasswordagain,Dontmakemetypepasswordagain,3,1,NA,0,0,2.53E-07,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,BLM
Dunkleosteus77,Dunkleosteus77,2,1,0,492,0.000124302,2.53E-07,0.000503524,10,0.005025126,6,0.003015075,4,0.00201005,19,14,5,6.66E-05,ebola
Editboyxxx999snipez,Editboyxxx999snipez,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Emily1015,Emily1015,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Emmyfan,Emmyfan,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000182272,BLM
Engl1105,Engl1105,2,1,NA,0,0,2.53E-07,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,BLM
EoRdE6,EoRdE6,2,1,0,10933,0.002762177,2.68E-07,0.000532728,45,0.022613065,5,0.002512563,40,0.020100503,75,9,66,0.000236659,BLM
