wpid,userid,ave_good_3ms,revert_count_3ms,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count
Aragornbattle,22806372,0,0,0,1,2014,10/10/14,1098,10/12/17,10/10/14,1,1,1,West African Ebola virus epidemic,10/10/14,10/10/14,3,20.33333333,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,0,0,0.373198159,20.33265558,20.33265558,1,3,3,0,0,0
Ariq maul,21797377,0,0,0,1,2014,7/10/14,1192,10/14/17,7/10/14,1,1,1,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/10/14,2,-35,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,2,1,0.436317197,-34.99825009,-34.99825009,1,2,2,0,0,0
Arjunsanyal,21538496,0.857978098,36,1222,0,2014,10/6/17,8,10/14/17,10/6/17,0,2,2,2018 FIFA World Cup,6/5/14,6/2/14,63,45.47619048,16,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,39,0.629032258,0.81125581,96.38387397,96.38387397,6,13,13,0,0,0
Arsalan a.gh,21550334,0.884651943,0,98,1,2014,9/10/14,1130,10/14/17,9/10/14,1,1,1,2014 FIFA World Cup officials,6/20/14,6/4/14,6,28.5,5,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.879545197,3.99960004,3.99960004,1,1,1,0,0,0
Arslan963,21421968,0,0,0,1,2014,5/17/14,1246,10/14/17,5/17/14,0,2,2,2014 FIFA World Cup qualification,5/17/14,5/17/14,3,160,3,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,3,1,0.360961507,159.9946668,159.9946668,3,3,3,0,0,0
Asere3000,26389553,0,0,0,1,2015,9/29/15,751,10/19/17,9/29/15,1,1,1,Shooting of Akai Gurley,9/29/15,9/29/15,1,95,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.112156064,94.99050095,94.99050095,1,1,1,0,0,0
Ashish kumar sharma99,21786302,0,0,0,1,2014,7/8/14,1194,10/14/17,7/8/14,1,1,1,2014 FIFA World Cup broadcasting rights,7/8/14,7/8/14,1,12,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,1,1,0.856548602,298.9850507,11.99880012,1,1,2,0,1,0
Ashu-97,21624226,0.930203737,0,64,1,2014,8/18/14,1153,10/14/17,8/18/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/15/14,6/15/14,4,83,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.944688056,86.9971001,86.9971001,1,3,3,0,0,0
Asniaaprilia,21348121,0,0,0,1,2014,5/7/14,1256,10/14/17,5/7/14,1,1,1,2014 FIFA World Cup squads,5/7/14,5/7/14,2,221.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.548803937,221.4889256,221.4889256,1,2,2,0,0,0
Asracing120,23254673,0,0,0,1,2014,11/22/14,1055,10/12/17,11/22/14,1,1,1,Ebola virus disease,11/22/14,11/22/14,1,111,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola,1,1,0.182313105,110.9889011,110.9889011,1,1,1,0,0,0
