wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true
Gonzales2011,21715655,0,1,2014,6/28/14,1202,10/12/17,6/28/14,1,1,1,West African Ebola virus epidemic,6/28/14,6/28/14,2,64.5,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,0,0,0.557758273
Gorblestein,22800527,0,1,2014,10/10/14,1098,10/12/17,10/10/14,1,1,1,West African Ebola virus epidemic,10/10/14,10/10/14,6,10.66666667,4,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,5.17E-05,ebola,5,1,0.205597494
GraalPK,21483047,611,1,2014,1/26/16,627,10/14/17,1/26/16,0,4,3,2014 FIFA World Cup Brazil,6/20/14,5/25/14,5,16.8,4,3,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,2,0.5,0.816176431
GrecianEarn,26353285,88,1,2015,12/22/15,667,10/19/17,12/22/15,0,4,3,Death of Sandra Bland,9/29/15,9/25/15,739,256.3450609,232,3,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,31,0.043723554,0.769791257
GrimaceMcDonald,25528513,0,1,2015,6/18/15,854,10/19/17,6/18/15,1,1,1,Charleston church shooting,6/18/15,6/18/15,1,2,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.352567035
Haaslk,21800872,0,1,2014,7/10/14,1192,10/14/17,7/10/14,1,1,1,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/10/14,1,1,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.146053672
Halahala9X9,24979737,0,1,2015,4/28/15,905,10/19/17,4/28/15,1,1,1,Shooting of Rekia Boyd,4/28/15,4/28/15,6,1026.166667,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,0,0,0.836364585
Ham.star.01,22812081,0,1,2014,10/11/14,1097,10/12/17,10/11/14,1,1,1,West African Ebola virus epidemic,10/11/14,10/11/14,1,1,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,0,0,0.551046981
HamedV00,21339499,984,1,2014,1/14/17,273,10/14/17,1/14/17,1,1,1,2014 FIFA World Cup squads,5/6/14,5/6/14,5,1687.6,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.889535056
Handsomewealth,22568229,0,1,2014,9/17/14,1121,10/12/17,9/17/14,1,1,1,Ebola virus,9/17/14,9/17/14,1,709,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,1.12E-06,ebola,1,1,0.227799337
Harka1998,22388250,671,1,2014,7/2/16,467,10/12/17,7/2/16,0,2,2,West African Ebola virus epidemic,10/8/14,8/31/14,116,69.17241379,39,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,10,0.086956522,0.665538836
Harrismark,21938133,11,1,2014,8/7/14,1162,10/12/17,8/7/14,0,2,2,Ebola virus disease,8/4/14,7/27/14,7,-8,6,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.393649983
Hawkmoonb,22162361,0,1,2014,8/11/14,1165,10/19/17,8/11/14,1,1,1,Death of Eric Garner,8/11/14,8/11/14,1,3,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,1,1,0.113233314
Hehoo99,23377850,0,1,2014,12/3/14,1051,10/19/17,12/3/14,0,2,2,Ferguson unrest,12/3/14,12/3/14,4,-42151.75,3,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,4,1,0.271922369
Hejhej123hejhej,21794253,0,1,2014,7/9/14,1193,10/14/17,7/9/14,1,1,1,Brazil v Germany (2014 FIFA World Cup),7/9/14,7/9/14,1,-470,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.203566845
Hemlata0005,22287630,0,1,2014,8/22/14,1147,10/12/17,8/22/14,1,1,1,Ebola virus,8/22/14,8/22/14,1,37,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.111708699
Hernanx32a,21651749,0,1,2014,6/19/14,1213,10/14/17,6/19/14,1,1,1,2014 FIFA World Cup Group D,6/19/14,6/19/14,3,15.33333333,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,3,1,0.641412158
Hmoshrif,21581893,0,1,2014,6/9/14,1223,10/14/17,6/9/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/9/14,6/9/14,1,-10,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.917360343
HMS88,21533729,696,1,2014,4/27/16,535,10/14/17,4/27/16,0,2,2,Talk:FIFA World Cup hosts,6/19/14,6/1/14,31,30.51612903,18,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,0,0,0.62213638
Hobbes7,23076611,95,1,2014,2/8/15,977,10/12/17,2/8/15,0,2,2,Ebola virus cases in the United States,11/15/14,11/5/14,21,281.1904762,11,2,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,3,3,0,0.000195189,ebola,0,0,0.782976115
Homo mundi,21846525,4,1,2014,7/20/14,1182,10/14/17,7/20/14,1,1,1,List of 2014 FIFA World Cup controversies,7/19/14,7/16/14,20,181.6,2,1,2,5.05E-07,0.000502513,3,0.001507538,2,0.001005025,1,0.000502513,5,4,1,2.49E-06,fifa,2,0.105263158,0.720175336
Homomnius,21685326,0,1,2014,6/24/14,1206,10/12/17,6/24/14,1,1,1,Ebola virus disease,6/24/14,6/24/14,2,21.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,2,1,0.248835192
Hrrael,22986945,0,1,2014,10/27/14,1081,10/12/17,10/27/14,1,1,1,West African Ebola virus epidemic,10/27/14,10/27/14,1,788,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.809066739
Iamchukzzy,22781464,0,1,2014,10/8/14,1100,10/12/17,10/8/14,1,1,1,West African Ebola virus epidemic,10/8/14,10/8/14,1,11,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,2.39E-07,ebola,1,1,0.603306351
Iazyges,23299921,1057,0,2014,10/18/17,1,10/19/17,10/18/17,0,4,3,South African National Rally Championship,1/13/15,11/26/14,20,137.1,17,3,0,0,0.000502512,1,0.000502513,0,0,1,0.000502513,2,0,2,0,blm,1,0.05,0.977967013
Icarosaurvus,22245365,1137,0,2014,9/28/17,21,10/19/17,9/28/17,0,2,2,Talk:Shooting of Michael Brown,8/19/14,8/18/14,13,10.84615385,10,2,8531,0.002155322,0.000674739,7,0.003517588,3,0.001507538,4,0.00201005,14,5,9,0.000140966,blm,1,0.076923077,0.546484031
Igor gdsgsdgifsscvu,23732876,0,1,2015,1/9/15,1007,10/12/17,1/9/15,1,1,1,Ebola virus,1/9/15,1/9/15,2,-1525,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,0.5,0.479784189
Ija2002,22732690,5,1,2014,10/8/14,1100,10/12/17,10/8/14,1,1,1,West African Ebola virus epidemic,10/3/14,10/3/14,2,-1,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,0,0,0.629594126
ILLWRECKYOU,21603481,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,1,1,We Are One (Ole Ola),6/12/14,6/12/14,1,41,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,1,1,0.02435118
Impendingtruth,26797572,1,1,2015,11/15/15,704,10/19/17,11/15/15,1,1,1,2015ã¢_Ü__16 University of Missouri protests,11/14/15,11/14/15,6,90.66666667,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,2,0.333333333,0.255136046
Inemudom,21965466,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,1,1,Ebola virus disease,7/30/14,7/30/14,1,159,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.763841097
Irishlad99,22216664,568,1,2014,3/5/16,586,10/12/17,3/5/16,1,1,1,West African Ebola virus epidemic,8/15/14,8/15/14,5,382.4,3,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,0.2,0.49532859
Iron Caterpillar,22778720,6,1,2014,10/14/14,1094,10/12/17,10/14/14,1,4,3,West African Ebola virus epidemic,10/14/14,10/8/14,1,10,1,3,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.80052284
IRVONBRABBS420BLAZE,23580979,0,1,2014,12/24/14,1023,10/12/17,12/24/14,1,1,1,Ebola virus,12/24/14,12/24/14,3,144.6666667,2,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,3,1,0.29199939
IRW0,22287343,46,1,2014,10/6/14,1102,10/12/17,10/6/14,0,2,2,Ebola virus cases in the United States,10/2/14,8/21/14,298,-103.9798658,57,2,42,1.06E-05,0.000503777,11,0.005527638,7,0.003517588,4,0.00201005,21,13,8,0,ebola,9,0.030405405,0.647703321
Ishac.ishac,21605711,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14,4,18.25,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.844562232
Itzzz Michael,21497331,0,1,2014,5/27/14,1236,10/14/17,5/27/14,1,1,1,2014 FIFA World Cup Brazil (video game),5/27/14,5/27/14,2,25,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,2,1,0.113051499
Iwalrusfriend,23257101,0,1,2014,11/22/14,1055,10/12/17,11/22/14,1,1,1,Ebola virus disease,11/22/14,11/22/14,1,-3,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.043826433
JafarFromAfar,23504924,0,1,2014,12/16/14,1031,10/12/17,12/16/14,0,2,2,Ebola virus,12/16/14,12/16/14,2,27,2,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,2,1,0.272999442
