wpid,userid,user_type,event,edit_count,revert_count,revert_ratio,ave_true,final_check
Laurel Wreath of Victors,25771936,2,blm,238,7,0.029411765,0.650181368,0
Legochima,23626977,1,blm,1,1,1,0.516755045,0
Leo Bonilla,21626799,3,fifa,11,0,0,0.714032739,0
Lib arts premed96,24992570,3,blm,21,4,0.19047619,0.725277826,1
LiciaLace,22119550,1,blm,2,0,0,0.403170198,0
Lifebiomedguru,22147463,3,ebola,2,0,0,0.665330517,0
Lilhpster,23384693,1,blm,1,1,1,0.250923078,0
Lilnelson1234,23083653,1,ebola,1,0,0,0.090502208,0
Liverpool8765,21800893,2,fifa,25,9,0.36,0.542498093,0
Lizard the Wizard,26692711,3,blm,1837,22,0.011976048,0.956178577,1
Loudaboss,22778809,1,ebola,4,4,1,0.253815778,0
Lowkey40,24991961,1,blm,6,6,1,0.504920118,0
Lucazinzula,22121750,2,ebola,5,2,0.4,0.529238487,0
LuckyLeftyy,25763355,2,blm,18,3,0.166666667,0.49957251,0
Luyg97,21413246,2,fifa,29,1,0.035714286,0.652149329,0
M.dajohnna,22747837,1,ebola,1,1,1,0.481757815,0
MB298,24524350,2,blm,1157,81,0.070190641,0.963578249,1
MPS1992,26860051,2,blm,1126,10,0.008880995,0.698532836,0
MaddiKadafy,21891220,3,blm,865,1,0.001169591,0.758458059,0
Madoti mojeed,21721474,3,fifa,2,1,0.5,0.682673249,0
Mahhon,25099877,2,ebola,119,4,0.033898305,0.665708467,0
ManiiMACK,23377834,1,blm,1,1,1,0.014690858,0
Mariocarioca22,21556789,1,fifa,2,2,1,0.573339881,0
Mariojack3,24656564,2,blm,58,6,0.103448276,0.74681831,1
Mariquilla1988,22491234,3,ebola,12,0,0,0.610670267,0
MarkBM,21794115,3,fifa,14,3,0.214285714,0.53948693,0
Masterfrac,26388641,2,blm,5,5,1,0.24198565,0
Matosizi,21622900,1,fifa,1,1,1,0.788071402,0
Matthew898,21814693,2,fifa,50,19,0.387755102,0.598840237,0
Mattoeftering,25896539,1,blm,2,2,1,0.366414957,0
