wpid,userid,register,death,first_edit_type3,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event.x,first_edit_type3,label,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Aurelienreys,21306816,5/1/14,1,2,0,119.6656695,119.6656695,8,12,12,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,2,Aurelienreys,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
AutonomousOrangePages,23378365,12/3/14,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,AutonomousOrangePages,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
AuxZane,22488679,9/10/14,1,2,14,4.538426627,4.538426627,9,13,13,0,0,0,386,0.199998,0.199998,4,10,10,0,0,0,ebola,2,AuxZane,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
BadDJ,25823689,7/22/15,1,2,5,48.6246961,48.6246961,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2,BadDJ,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Bal Mungram,21767315,7/6/14,1,1,0,184.9907505,184.9907505,1,2,2,0,0,0,1051,135.4718459,135.4718459,21,36,36,0,0,0,FIFA,1,Bal Mungram,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Bander.Quraishi,22332479,8/26/14,1,1,0,4.99950005,4.99950005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Bander.Quraishi,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Barnaby.rostant,21714764,6/28/14,1,1,0,-107.9892011,-107.9892011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,1,Barnaby.rostant,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Basefut,21738163,7/1/14,1,2,0,21.49964167,21.49964167,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,2,Basefut,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
BatHunter,22065417,8/5/14,1,1,1,264.1390837,253.9957667,1,6,7,1,0,0,75,-39.39921202,-39.39921202,2,5,5,0,0,0,BLM,1,BatHunter,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Bbetev2,21783006,7/8/14,1,2,10,18.799812,18.799812,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,2,Bbetev2,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Benjaminherberger,21635583,6/17/14,1,1,1,670.6443119,670.6443119,2,3,3,0,0,0,0,0,0,1,1,1,0,0,0,FIFA,1,Benjaminherberger,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Bhavinderrao9,21896149,7/23/14,1,1,0,158.9841016,158.9841016,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Bhavinderrao9,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Big12isu,23369095,12/3/14,1,1,0,90.99090091,90.99090091,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Big12isu,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
BigFaCL,21314864,5/2/14,1,1,0,43.99560044,43.99560044,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,1,BigFaCL,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Bluemousered,23334109,11/29/14,1,1,0,12.99870013,12.99870013,1,1,1,0,0,0,844,317.2186976,3.499956251,3,8,9,1,0,0,BLM,1,Bluemousered,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Blzjms,23377306,12/3/14,1,1,0,-81.99180082,-81.99180082,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Blzjms,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
